x,y
0,0.06942000240087509
1,0.07027000933885574
2,0.07172500342130661
3,0.07034000009298325
4,0.07100000232458115
5,0.0715700015425682
6,0.07296999543905258
7,0.07194499671459198
8,0.07240500301122665
9,0.07321999967098236
10,0.07321500033140182
11,0.07318500429391861
12,0.07300999760627747
13,0.07235000282526016
14,0.07228000462055206
15,0.07254999130964279
16,0.07222999632358551
17,0.07300999760627747
18,0.07033500075340271
19,0.07330000400543213
20,0.07287999987602234
21,0.07257500290870667
22,0.07379499822854996
23,0.07268500328063965
24,0.07224500179290771
