x,y
0,0.08959776908159256
1,0.07885221391916275
2,0.06608577817678452
3,0.08803645521402359
4,0.07436876744031906
5,0.07933075726032257
6,0.07777388393878937
7,0.0685574933886528
8,0.08832842856645584
9,0.07145338505506516
10,0.07502831518650055
11,0.07067017257213593
12,0.06872227042913437
13,0.08799463510513306
14,0.06926152110099792
15,0.08818239718675613
16,0.07602398842573166
17,0.06480167806148529
18,0.0714295282959938
19,0.06344398111104965
20,0.07517161965370178
21,0.07616643607616425
22,0.07553739845752716
23,0.07952965795993805
24,0.061517056077718735
